player_id,player_name,team_name,Ball Receipt*,Ball Recovery,Block,Carry,Clearance,Dispossessed,Dribble,Dribbled Past,Duel,Error,Foul Committed,Foul Won,Goal Keeper,Interception,Miscontrol,Own Goal Against,Pass,Player Off,Player On,Pressure,Shot,match_id,Offside,Shield,Bad Behaviour,50/50
2954,Youri Tielemans,Belgium,1,0,0,1,0,0,0,2,0,0.0,0,0,0,0,0,0.0,1,0.0,0.0,7,0,8650,,,,
3054,Fernando Luiz Roza,Brazil,38,7,1,39,1,0,0,4,1,1.0,2,2,0,2,0,1.0,66,1.0,1.0,21,1,8650,,,,
3077,Jan Vertonghen,Belgium,36,2,2,34,3,1,1,2,3,0.0,1,0,0,1,0,0.0,47,0.0,0.0,37,0,8650,,,,
3089,Kevin De Bruyne,Belgium,44,10,0,28,1,2,2,0,1,0.0,0,1,0,0,0,0.0,42,0.0,0.0,42,3,8650,,,,
3101,Vincent Kompany,Belgium,38,1,4,27,10,0,0,2,1,0.0,0,0,0,0,0,0.0,44,0.0,0.0,9,1,8650,,,,
3176,Thomas Meunier,Belgium,20,3,2,22,4,0,1,2,3,0.0,2,0,0,0,1,0.0,29,0.0,0.0,49,0,8650,,,,
3202,Gabriel Fernando de Jesus,Brazil,17,1,0,11,0,0,1,2,1,0.0,1,0,0,0,2,0.0,10,0.0,0.0,19,2,8650,,,,
3289,Romelu Lukaku Menama,Belgium,31,2,0,16,0,1,3,0,0,0.0,3,2,0,0,4,0.0,13,0.0,0.0,14,0,8650,,,,
3295,Thiago Emiliano da Silva,Brazil,49,6,0,50,3,1,0,0,0,0.0,0,0,0,1,0,0.0,54,0.0,0.0,3,1,8650,,,,
3296,Marouane Fellaini-Bakkioui,Belgium,39,2,3,25,4,0,0,1,9,0.0,6,2,0,2,1,0.0,35,0.0,0.0,63,1,8650,,,,
3472,Willian Borges da Silva,Brazil,21,0,1,19,0,1,0,0,3,0.0,1,0,0,0,2,0.0,20,0.0,0.0,14,0,8650,,,,
3501,Philippe Coutinho Correia,Brazil,82,2,1,75,0,3,0,1,4,0.0,1,3,0,1,3,0.0,75,0.0,0.0,13,6,8650,,,,
3509,Thibaut Courtois,Belgium,15,4,0,13,0,0,0,0,0,0.0,0,0,27,0,0,0.0,30,0.0,0.0,0,0,8650,,,,
3535,Roberto Firmino Barbosa de Oliveira,Brazil,30,1,1,20,0,1,2,0,1,0.0,1,1,0,0,1,0.0,18,0.0,0.0,17,2,8650,,,,
3621,Eden Hazard,Belgium,52,7,1,49,0,3,9,0,0,0.0,4,11,0,0,3,0.0,39,0.0,0.0,20,2,8650,,,,
4320,Neymar da Silva Santos Junior,Brazil,71,6,0,67,0,5,6,0,1,0.0,0,3,0,0,7,0.0,60,1.0,1.0,13,3,8650,,,,
4831,Nacer Chadli,Belgium,26,5,0,21,3,2,0,0,1,0.0,0,0,0,0,2,0.0,34,0.0,0.0,31,1,8650,,,,
5542,José Paulo Bezzera Maciel Júnior,Brazil,37,4,1,31,0,0,1,1,2,0.0,3,3,0,0,0,0.0,33,0.0,0.0,17,3,8650,,,,
5547,Alisson Ramsés Becker,Brazil,5,1,0,5,0,0,0,0,0,0.0,0,0,8,0,0,0.0,7,0.0,0.0,0,0,8650,,,,
5551,João Miranda de Souza Filho,Brazil,30,1,3,28,2,0,0,3,5,0.0,4,2,0,1,0,0.0,42,0.0,0.0,14,0,8650,,,,
